rank,model,harness,pass_at_1_percent,ci_95_percent,new
1,gpt-6-astra (high),Codex,68.8,5.0,true
2,claude-fable-5 (xhigh),Claude Code,67.3,5.0,false
3,gpt-5.6-sol (xhigh),Codex,63.7,5.2,false
4,gpt-5.6-sol (high),Codex,63.1,5.2,false
5,muse-spark-1.2 [high],Muse Code,61.0,5.2,true
6,gpt-5.6-sol (medium),Codex,58.6,5.3,false
7,kimi-k3,Kimi Code,58.0,5.3,false
8,claude-opus-4-8,Claude Code,55.9,5.3,false
9,gpt-5.5,Codex,54.7,5.3,false
10,gemini-3-pro-preview,Gemini CLI,53.8,5.4,false
11,gpt-5.4,Codex,52.0,5.4,false
12,gemini-3-flash-preview,Gemini CLI,46.8,5.4,false
13,gpt-5.4-mini,Codex,43.2,5.3,false
14,glm-5.2,OpenCode,38.4,5.2,false
15,claude-sonnet-4-5,Claude Code,34.8,5.1,false
16,kimi-k2.5,OpenHands,20.7,4.4,false
17,claude-haiku-4-5,Claude Code,18.6,4.2,false
18,qwen3.5-397b,OpenHands,5.4,2.4,false
